A,B,C,D
52,12,27,y
60,69,58,z
23,37,83,y
10,71,93,x
1,48,94,z
12,77,42,z
72,29,63,y
2,49,47,y
65,49,30,z
43,49,78,y
63,88,9,x
75,66,10,z
63,18,69,x
73,90,97,y
66,62,37,z
87,65,7,x
7,58,75,y
5,58,26,z
47,61,72,y
21,88,66,x
58,49,85,z
53,18,60,x
24,74,89,x
10,16,70,x
62,4,45,x
54,45,86,z
74,92,46,y
24,89,48,y
51,82,89,y
13,26,72,z
80,79,53,x
80,47,50,z
46,13,63,z
40,64,70,x
89,67,19,x
39,13,92,x
89,4,74,x
73,40,44,y
60,29,79,y
48,93,99,y
7,90,37,z
93,48,59,z
46,13,91,y
44,8,12,y
87,68,16,x
35,97,75,y
63,67,49,x
23,41,57,z
72,71,76,x
43,65,57,z
54,46,29,x
63,39,29,z
63,90,76,z
83,98,80,y
23,68,34,x
99,60,60,z
75,34,62,y
47,43,96,y
90,81,84,x
45,14,85,z
26,9,98,y
51,72,79,y
10,34,24,z
7,15,75,y
52,17,34,y
56,81,61,x
74,69,39,z
53,98,58,y
14,22,29,z
4,7,50,y
84,17,69,x
63,16,45,x
42,29,26,x
34,62,57,z
29,15,84,z
10,48,86,x
38,61,96,x
32,15,91,z
40,46,68,x
26,34,81,y
22,71,64,x
87,83,98,x
99,77,25,z
33,64,58,x
68,21,44,z
46,35,22,y
16,16,21,x
77,27,60,x
28,31,42,y
25,72,94,x
22,78,50,x
10,96,78,z
31,99,80,z
14,52,78,y
46,4,80,y
36,57,57,y
21,23,67,z
2,99,36,z
77,92,37,x
76,65,32,z
88,57,61,x
34,90,39,x
45,32,28,x
91,63,45,z
55,89,4,z
41,79,10,y
98,14,35,z
37,30,48,x
23,88,98,y
58,91,19,y
13,97,71,x
16,63,85,y
29,69,74,z
83,88,92,y
9,85,68,x
65,54,10,x
50,69,13,y
29,51,59,x
13,77,80,y
74,7,30,x
85,57,85,x
59,27,67,z
79,27,84,z
30,75,76,z
80,63,71,x
38,60,13,z
53,39,27,x
64,51,24,z
7,73,81,x
55,5,64,z
12,11,56,y
55,64,72,y
43,93,51,x
24,12,28,x
84,35,68,z
60,16,49,y
45,79,96,z
70,36,88,x
86,26,60,y
54,70,19,z
25,70,76,z
37,3,38,x
30,1,22,y
57,77,67,z
67,60,96,z
7,78,11,x
88,5,38,z
83,48,10,y
12,38,92,z
65,98,71,z
86,35,2,y
62,41,84,x
9,4,17,y
82,52,13,y
33,47,85,x
7,94,26,z
38,13,21,y
37,93,94,z
74,38,19,z
79,61,34,x
12,33,78,x
40,30,25,y
7,93,68,x
34,26,65,y
63,10,77,y
60,49,93,z
20,7,84,z
39,50,34,z
39,93,47,y
14,1,55,z
72,56,34,z
64,63,87,y
70,44,64,y
98,34,77,x
49,45,13,z
27,19,25,y
89,3,94,z
19,9,51,z
2,90,43,x
66,66,1,y
44,33,94,y
55,11,52,z
50,94,70,x
72,19,95,z
57,46,46,y
72,15,19,y
70,35,87,y
81,4,34,x
74,48,20,x
2,10,66,z
39,90,62,x
97,40,47,x
94,97,50,z
48,71,84,z
83,45,60,y
66,44,44,y
86,29,78,x
46,54,66,y
95,38,3,y
13,33,30,y
96,73,66,z
79,98,32,x
42,63,46,x
50,71,18,x
19,90,68,z
68,88,85,x
86,58,76,x
68,70,21,x
60,22,8,x
90,69,85,y
35,35,62,y
84,64,86,y
42,29,30,x
44,91,46,x
8,69,17,x
37,85,95,y
87,38,54,z
91,71,18,x
35,57,28,x
71,86,73,x
21,61,74,z
49,75,78,x
21,71,32,x
30,83,36,z
99,48,35,z
62,83,63,x
66,87,30,x
20,47,39,y
39,3,89,x
23,65,66,z
75,37,50,y
87,42,23,y
1,63,81,y
19,27,94,z
59,96,52,z
11,71,72,x
17,94,94,z
63,81,30,z
80,65,73,x
77,45,31,x
27,7,70,y
6,75,61,y
13,41,93,z
99,91,66,y
35,61,20,z
52,53,53,x
28,53,38,y
73,44,56,z
47,53,43,x
68,87,81,x
58,3,83,y
44,17,85,x
60,29,46,x
28,53,36,x
43,89,16,z
35,89,48,y
87,56,15,x
70,2,58,y
53,17,66,z
56,96,28,y
5,64,45,x
2,1,97,z
59,47,42,z
52,25,29,z
67,62,20,x
92,51,83,z
95,99,41,z
36,34,50,x
39,19,75,z
1,52,1,z
90,84,88,y
55,67,12,z
25,9,72,y
14,24,34,y
33,58,82,x
78,1,14,x
83,10,65,x
6,22,25,z
92,32,27,y
11,63,21,y
33,17,89,y
51,71,51,x
34,48,63,y
30,69,12,z
21,37,35,x
40,46,76,z
63,4,82,y
12,52,40,y
77,98,38,y
34,95,73,y
37,60,72,y
91,30,31,z
92,23,21,x
7,89,69,y
49,94,88,z
83,87,70,z
74,13,2,y
21,23,44,x
13,62,84,x
36,82,51,z
3,78,47,y
60,97,82,x
62,79,56,y
86,19,23,z
3,54,3,z
69,33,21,x
25,16,96,z
46,65,28,z
13,90,28,z
39,17,13,x
41,7,64,x
98,88,37,x
43,80,35,y
66,8,82,x
95,27,42,y
93,87,39,y
87,17,94,x
28,39,86,x
75,98,46,x
14,73,76,x
67,55,21,x
6,49,72,x
16,39,32,x
62,19,60,z
32,63,30,z
34,43,46,z
44,25,48,y
38,44,90,y
78,84,48,y
56,20,55,y
86,89,58,y
69,87,24,z
11,62,37,x
67,5,2,z
88,55,60,z
31,24,51,z
17,35,9,z
70,49,25,z
44,96,30,x
23,89,16,y
45,61,12,y
8,79,38,z
69,30,69,z
13,23,3,z
77,3,35,z
97,26,85,x
76,51,5,x
91,97,71,y
29,45,35,z
63,74,61,x
92,73,77,y
49,60,34,y
11,17,97,z
75,84,88,x
63,65,76,x
14,98,65,x
67,23,3,y
70,47,66,x
50,17,81,z
74,7,34,y
50,55,2,z
53,59,28,z
83,41,6,x
4,10,20,y
12,22,14,z
11,66,42,x
67,32,71,z
82,45,57,x
99,32,38,z
58,2,64,z
59,76,74,x
83,42,12,x
33,11,51,x
61,60,79,x
1,8,16,x
47,60,18,z
83,38,11,y
71,55,99,y
42,12,97,x
83,57,75,x
44,81,60,x
96,70,53,x
67,32,22,z
7,74,14,x
96,39,16,x
15,15,33,y
91,47,55,y
59,72,22,z
33,79,1,y
64,78,54,x
32,80,56,z
30,46,64,x
77,36,99,z
39,80,26,y
92,82,50,x
36,9,69,z
26,34,57,x
4,79,55,y
51,86,54,x
5,56,89,x
19,92,15,y
35,87,43,z
96,7,85,x
19,41,17,y
73,53,78,y
30,40,2,z
40,82,53,z
83,57,19,z
54,62,71,z
79,98,8,y
11,20,59,z
78,95,48,y
71,10,38,z
63,80,4,x
96,20,36,x
45,1,4,x
16,20,19,y
48,9,77,x
37,5,36,z
36,16,20,x
54,85,65,x
93,99,23,z
22,29,83,y
21,32,28,z
47,66,60,y
21,27,92,z
69,79,98,x
73,50,51,x
17,26,61,y
29,9,64,y
42,97,84,z
67,72,62,z
66,56,26,y
87,79,21,z
3,63,43,x
94,78,65,x
82,52,94,z
20,74,70,z
86,1,15,y
77,72,62,x
87,85,83,y
12,50,74,y
75,6,27,z
1,72,80,z
32,82,56,x
92,38,22,x
89,46,90,x
46,59,10,y
69,16,97,z
37,28,22,z
53,77,74,y
7,62,58,z
98,93,89,x
35,13,52,z
72,43,85,y
10,37,37,z
39,70,17,y
52,57,74,x
61,96,49,z
16,6,98,y
71,72,6,z
60,16,97,y
62,57,66,y
52,74,61,z
16,50,26,z
10,30,83,z
55,84,39,z
25,63,66,z
49,80,54,z
29,45,79,z
63,5,15,z
85,68,68,y
34,27,39,y
52,25,20,x
73,36,37,x
67,54,63,y
89,32,17,x
4,51,93,x
9,50,22,y
49,8,87,z
52,98,37,x
6,94,26,z
41,25,44,z
26,61,47,y
36,26,33,y
77,26,42,y
24,1,94,x
58,8,73,z
46,10,44,y
45,18,93,z
99,41,13,x
60,58,14,z
65,65,68,x
89,75,7,x
3,49,21,x
61,82,45,x
29,70,39,x
78,93,22,x
82,14,39,z
8,53,4,z
4,49,79,z
50,36,42,x
85,19,10,y
78,58,79,x
97,80,16,y
68,95,47,x
50,14,15,z
86,8,6,y
63,12,8,z
97,53,15,x
41,96,92,y
27,15,34,x
67,69,8,y
90,5,45,y
3,81,99,x
71,29,34,z
67,25,4,y
90,27,95,z
46,42,65,y
7,16,13,x
54,41,91,y
76,51,26,y
36,74,71,x
68,84,80,x
27,73,95,y
8,28,18,z
2,41,12,x
25,13,12,y
71,98,43,z
26,68,57,y
44,41,65,z
21,51,76,z
45,17,30,y
68,68,43,z
63,15,19,x
73,71,73,x
96,72,51,y
42,95,19,z
46,27,80,x
83,3,97,y
58,3,13,y
21,26,4,z
21,25,13,y
40,32,77,z
61,30,60,y
98,27,66,y
83,51,2,y
35,91,85,x
40,72,96,z
6,66,97,z
5,41,86,y
79,16,78,y
65,44,15,y
98,55,84,y
61,88,66,y
4,21,56,x
95,64,1,z
4,2,12,y
46,81,91,x
30,81,64,y
42,60,91,x
53,11,25,x
78,31,31,y
6,7,79,x
26,86,54,x
61,21,6,y
52,62,60,y
9,17,86,x
64,16,62,y
32,2,15,z
18,26,11,z
13,50,7,y
69,16,89,x
17,52,18,x
67,8,8,x
14,72,74,x
19,37,91,z
62,46,35,z
8,42,88,y
11,27,28,x
65,43,23,y
41,32,9,y
45,18,78,y
42,46,3,x
93,11,55,y
13,61,87,z
93,14,43,z
19,60,89,y
92,96,41,y
89,89,79,x
74,72,32,y
40,9,99,y
93,78,82,x
81,56,73,y
23,52,11,x
97,81,92,x
43,61,95,x
64,97,98,x
95,80,82,x
77,89,28,z
45,31,93,x
77,32,71,x
76,77,33,y
59,60,60,x
30,79,3,x
30,51,54,x
66,69,92,y
10,52,98,z
6,80,49,y
24,48,52,z
14,38,44,x
32,5,47,y
81,54,23,z
3,93,79,y
28,99,18,x
88,46,22,y
90,58,59,x
25,61,5,x
4,12,14,x
46,94,5,z
93,16,32,y
81,10,62,y
14,51,63,x
90,38,50,z
84,66,55,y
98,54,55,y
29,12,94,z
74,48,3,z
68,78,38,z
29,69,40,y
25,55,13,y
28,83,98,z
48,43,18,x
90,53,44,z
5,57,92,y
19,13,17,z
16,66,88,x
89,53,26,z
94,33,38,z
37,42,77,z
86,43,85,x
15,12,3,y
93,32,7,z
93,68,55,z
53,67,64,y
75,40,66,x
35,29,78,y
25,31,8,x
88,53,15,z
59,40,34,y
88,39,76,z
83,45,98,z
30,88,33,z
63,31,9,y
96,64,10,z
29,72,62,y
71,48,6,z
68,8,95,z
88,42,18,z
99,47,22,z
7,53,64,y
91,31,22,y
89,14,48,x
13,48,9,y
79,65,77,z
30,40,90,x
92,70,76,x
59,67,8,z
66,99,76,z
51,76,75,z
77,87,31,z
20,90,75,x
19,75,88,z
38,65,1,z
99,49,39,z
89,59,54,x
80,72,1,y
34,46,64,x
83,88,72,z
24,53,22,y
48,96,42,y
79,13,80,y
9,76,70,z
88,53,96,x
49,13,17,x
56,25,97,y
66,65,41,y
89,21,38,z
50,29,66,x
24,98,2,z
41,60,94,y
95,43,70,y
60,85,19,y
42,55,32,x
55,62,45,y
57,10,22,z
30,65,69,y
37,48,54,z
73,96,22,y
56,30,26,y
35,27,43,x
46,35,67,x
22,4,76,x
81,58,86,y
50,24,18,y
36,1,71,z
24,9,29,x
79,15,74,x
62,61,58,z
99,65,49,x
13,80,18,x
85,94,83,z
19,46,55,y
62,70,9,z
1,82,62,z
28,82,26,z
93,37,82,y
48,69,19,y
53,20,78,z
66,43,74,x
85,8,45,y
35,45,18,z
71,59,87,z
81,22,75,x
28,86,16,x
58,29,69,y
22,6,38,z
67,97,15,z
8,2,97,x
28,84,51,y
5,14,78,y
94,37,29,x
35,13,94,y
89,34,5,z
87,82,89,y
18,89,57,y
15,43,54,y
34,82,1,x
78,11,11,y
38,35,76,x
52,58,76,x
23,10,56,y
95,75,84,y
71,72,82,x
30,43,11,y
46,81,26,z
69,22,27,z
66,66,36,z
27,15,45,y
58,53,66,y
53,59,54,z
91,79,10,y
76,95,7,y
32,42,50,x
29,52,73,x
50,4,47,x
66,65,91,y
2,72,74,z
99,11,21,y
43,26,24,z
65,39,67,y
20,52,89,z
74,27,76,y
92,43,57,x
96,33,98,y
48,51,38,x
38,21,86,z
4,71,93,y
90,50,31,z
57,7,24,x
55,96,25,z
33,77,34,z
54,29,18,z
41,27,59,y
85,41,70,y
93,27,68,z
51,28,28,x
71,50,78,z
32,61,49,y
66,27,36,z
83,70,85,z
15,58,16,z
70,27,27,y
80,13,78,z
54,93,57,y
58,89,61,x
9,85,96,y
97,44,30,z
1,45,31,y
85,23,76,y
12,99,55,y
67,99,51,y
55,12,86,y
76,87,42,x
68,88,29,x
29,99,80,y
36,61,53,x
23,57,55,x
67,31,17,z
83,36,32,z
67,39,58,y
81,53,94,z
94,17,74,y
40,43,92,z
46,78,94,y
67,30,61,z
94,59,98,x
46,19,52,x
50,32,45,y
18,98,1,y
62,26,73,x
89,15,64,z
47,41,70,z
93,94,5,z
14,41,90,z
84,25,85,x
76,76,87,z
94,25,75,z
16,86,36,x
63,28,2,z
23,32,37,x
97,16,10,y
62,67,92,x
80,47,2,x
46,27,1,x
94,84,99,y
50,8,90,z
31,50,66,y
48,86,39,y
81,1,71,z
2,72,99,y
37,19,21,y
26,82,87,y
29,63,59,z
99,77,40,z
14,66,21,x
76,19,61,z
1,76,31,x
93,4,51,x
66,66,56,y
28,7,64,x
75,10,78,y
73,77,84,z
29,32,31,y
84,1,83,z
92,80,33,x
46,10,60,z
93,82,39,z
74,87,96,y
51,16,76,x
67,49,69,z
84,44,62,x
99,63,10,y
40,44,51,z
22,76,56,x
14,37,10,y
91,80,85,y
31,27,9,z
69,45,41,z
43,73,86,z
89,36,14,y
86,53,45,y
33,37,83,x
87,71,81,z
17,27,56,y
5,41,87,z
85,48,42,y
64,16,2,y
51,10,40,x
98,51,63,x
96,49,15,z
83,53,54,y
71,28,67,x
4,13,61,z
80,26,98,x
25,26,14,y
26,11,45,x
1,67,61,y
41,50,31,z
88,1,98,x
1,46,54,z
55,27,79,z
43,35,89,z
78,60,65,z
66,28,31,x
37,22,54,y
81,5,97,y
25,62,36,x
67,41,63,y
6,17,95,y
3,77,66,y
19,20,65,z
74,85,33,z
15,97,19,y
37,51,9,z
64,72,87,y
9,12,39,x
33,91,94,y
13,80,58,z
55,13,18,x
82,6,32,x
61,47,87,x
15,36,21,x
66,87,92,y
98,86,4,z
83,56,82,y
99,31,34,y
9,57,99,z
94,80,46,z
48,18,47,x
70,34,74,x
34,43,25,y
59,35,76,x
11,69,20,z
23,38,53,x
54,40,57,x
70,35,23,x
37,4,42,x
32,56,60,y
87,89,99,y
12,48,69,z
69,44,64,x
91,12,76,x
23,87,77,x
29,81,10,z
23,61,29,y
18,13,82,z
79,55,92,y
15,22,50,y
9,85,14,x
16,37,65,z
56,60,79,z
68,30,30,z
89,52,40,y
97,63,47,z
32,63,15,x
22,50,74,x
51,84,48,y
1,33,65,x
34,45,91,z
21,2,57,y
22,85,14,x
74,15,88,x
50,10,92,y
17,61,2,x
34,43,76,x
53,20,45,x
60,4,52,y
11,2,54,x
64,65,76,x
2,4,23,z
39,11,20,y
91,60,52,y
97,35,98,y
31,27,39,x
97,60,52,x
7,19,22,x
9,59,44,z
58,75,70,y
87,84,75,z
46,41,43,z
13,63,9,x
84,57,46,z
48,21,7,z
83,37,81,z
12,77,55,y
67,3,2,z
59,33,69,z
36,33,79,x
10,12,91,z
20,20,98,y
50,85,67,z
45,46,7,y
2,86,24,x
30,19,40,y
57,71,99,y
1,95,67,z
84,4,86,y
33,92,29,y
97,60,31,x
60,23,76,y
17,2,15,x
59,29,24,x
76,1,67,z
74,48,78,y
44,16,11,x
26,50,94,x
39,50,83,z
46,79,18,z
18,16,14,z
9,61,90,y
33,7,40,y
22,9,22,x
2,91,3,z
52,44,80,z
44,65,42,x
69,15,33,x
9,62,98,x
97,38,13,y
55,88,32,z
59,88,68,x
66,39,75,y
8,35,40,x
55,7,82,z
41,50,97,x
63,8,94,z
58,45,73,y
64,13,79,z
5,98,1,z
70,45,79,y
11,1,74,z
11,44,76,z
48,50,93,z
91,3,3,x
2,73,70,x
44,85,33,z
13,17,25,x
29,64,96,y
84,2,23,z
34,63,91,y
33,94,56,y
67,91,47,y
64,90,44,z
91,51,86,z
46,63,30,y
75,54,14,x
40,40,78,x
7,75,46,x
73,19,26,z
16,51,75,x
60,93,5,z
54,72,77,y
2,64,56,y
59,91,52,x
72,63,75,y
27,88,10,y
46,13,54,y
99,45,84,z
69,26,60,z
67,36,30,y
63,44,17,y
14,79,61,y
4,66,23,z
7,88,89,z
10,89,90,z
62,73,60,y
91,61,78,x
15,16,13,x
99,19,42,x
67,19,30,x
2,98,46,x
85,66,14,z
92,43,38,z
65,31,65,x
7,92,8,z
19,36,62,x
23,91,84,y
1,64,94,x
93,55,33,x
40,83,94,z
54,50,4,z
55,55,64,y
71,30,23,y
12,52,36,z
43,87,92,y
2,45,64,x
13,8,85,z
40,69,76,x
2,65,21,x
99,47,51,y
44,46,18,x
53,54,72,y
58,67,57,z
19,79,37,x
92,61,4,y
88,25,98,z
48,58,41,y
29,63,66,x
15,77,93,y
23,62,26,z
37,27,29,y
52,45,15,x
99,24,8,z
92,21,14,y
56,34,14,z
5,26,99,y
44,52,57,z
10,80,34,z
31,49,89,z
66,23,22,x
56,86,37,y
60,32,65,x
40,41,91,z
19,79,7,y
34,73,61,z
6,52,47,z
31,99,24,x
76,80,51,x
17,47,59,y
45,22,85,x
48,55,82,x
55,94,76,y
27,91,22,y
46,66,79,x
43,50,39,x
98,66,51,x
89,66,54,y
41,22,57,x
34,73,25,z
17,74,48,z
70,95,6,z
23,3,32,x
49,93,10,x
31,34,81,x
99,54,20,y
21,29,98,x
40,65,51,x
85,67,84,z
1,28,3,z
29,85,34,x
15,20,15,x
54,40,43,z
45,85,50,x
40,54,1,z
17,9,78,z
3,76,31,y
11,66,32,x
57,98,32,z
76,98,32,x
43,20,50,x
74,8,27,z
63,8,3,z
37,90,2,z
49,3,9,y
45,97,39,z
55,11,39,y
77,91,96,z
99,62,42,z
50,94,11,x
74,83,27,x
6,19,67,x
29,81,30,z
88,95,59,x
16,20,21,y
10,9,84,z
37,57,41,z
40,76,67,x
87,70,85,y
32,98,91,y
7,59,10,x
54,29,53,x
53,62,71,x
81,74,29,z
19,73,19,y
41,47,44,x
32,39,14,y
27,20,13,x
6,37,31,z
85,35,8,y
31,98,29,y
67,92,86,x
84,42,60,y
63,17,89,x
45,44,99,z
96,50,68,y
93,71,61,y
55,74,10,z
38,81,69,y
45,1,79,z
82,98,61,y
10,77,55,y
97,89,46,y
3,76,92,z
66,73,97,x
18,45,64,y
24,87,37,x
29,74,46,z
69,60,77,y
13,15,30,y
82,50,92,z
48,50,53,z
20,53,31,z
91,84,76,z
38,58,27,x
23,8,23,y
53,28,61,z
9,42,7,x
2,78,36,z
33,13,25,y
62,75,54,z
98,20,77,z
60,62,95,x
26,55,78,y
82,75,12,y
17,38,47,z
49,8,57,z
24,97,22,z
34,20,68,y
51,27,34,x
25,87,31,x
8,65,40,x
28,10,50,z
26,68,8,z
8,78,90,y
93,25,55,x
76,52,6,z
2,42,55,y
75,6,95,x
22,37,6,x
39,74,18,z
62,25,22,x
43,18,77,y
26,95,36,y
46,70,81,z
73,32,93,x
61,95,89,z
10,63,69,y
57,10,53,y
36,88,42,x
53,66,60,y
52,59,33,x
71,70,99,y
62,58,58,x
93,59,53,x
78,40,62,y
39,86,61,y
83,7,19,y
6,12,55,y
43,52,66,y
73,59,93,z
83,6,24,y
19,12,67,z
72,20,81,x
86,82,54,x
35,23,24,x
18,18,4,x
18,24,36,y
8,32,57,y
51,12,41,x
5,41,44,z
49,95,79,y
50,41,85,x
36,81,1,x
95,10,99,z
42,14,40,z
24,90,74,z
72,34,3,x
68,26,93,x
94,62,89,y
76,80,88,y
94,74,34,x
22,85,39,z
64,2,59,y
10,16,96,y
23,40,51,z
38,32,55,z
4,63,43,z
84,35,73,y
12,88,68,y
19,59,64,y
2,55,26,y
19,21,80,z
66,65,51,x
81,28,58,z
19,7,4,z
52,43,57,z
31,15,23,z
82,89,93,y
26,31,76,x
21,11,85,z
15,45,21,z
80,4,31,z
27,69,21,y
75,28,43,x
52,12,80,z
77,69,4,x
52,53,24,x
91,44,98,y
17,99,37,y
46,3,64,y
91,19,76,z
87,47,62,x
91,6,66,y
10,36,31,x
86,96,40,y
56,80,36,x
19,19,14,y
77,73,97,z
46,20,77,x
27,39,9,y
29,24,40,y
22,57,45,z
79,14,9,z
30,86,77,y
9,6,43,z
93,43,9,y
22,95,19,x
80,8,19,z
58,49,12,y
22,75,40,x
69,79,85,z
10,42,37,x
45,50,85,z
24,27,16,z
26,40,69,y
75,6,34,x
28,78,56,x
87,18,90,y
18,89,7,x
53,69,45,y
45,35,16,z
